level,code,name,Average Annual log percentage change,Log percentage change,Average Annual percentage change,Percentage change,GVA per hour,itl1name
ITL1,TLC,North East,0.008636465234553666,0.129546978518305,0.008673867096182342,0.13831258644536648,35.82,North East
ITL1,TLD,North West,0.007211408780660852,0.10817113170991277,0.007237473605994804,0.11423841059602635,39.31,North West
ITL1,TLE,Yorkshire and The Humber,0.003977569689125637,0.05966354533688456,0.003985490718107831,0.06147934678194078,36.82,Yorkshire and The Humber
ITL1,TLG,West Midlands,0.004183968555709564,0.06275952833564347,0.004192733572068175,0.06477076124567493,36.02,West Midlands
ITL1,TLH,East,0.004820711175064514,0.07231066762596772,0.004832349497329247,0.07498925655350197,39.69,East
ITL1,TLJ,South East,0.007557111820086308,0.11335667730129462,0.007585738856752844,0.1200313514723994,45.22,South East
ITL1,TLK,South West,0.0038607457856720375,0.05791118678508056,0.003868208064913503,0.059620883193899576,38.75,South West
ITL1,TLL,Wales,0.007419300423055652,0.11128950634583479,0.007446891626037955,0.11771844660194142,35.15,Wales
ITL1,TLI,London,-0.0007680961253223373,-0.01152144187983506,-0.0007678012150047486,-0.011455324235481679,53.96,London
ITL1,TLF,East Midlands,0.0021958372513251946,0.03293755876987792,0.002198249867523261,0.03348600508905886,35.61,East Midlands
ITL1,TLM,Scotland,0.009157804604962412,0.1373670690744362,0.00919986559495145,0.14724919093851074,41.28,Scotland
ITL1,TLN,Northern Ireland,0.008521311206195866,0.127819668092938,0.008557720924565082,0.13634806440561875,36.88,Northern Ireland
