level,code,name,Population,Average Annual log percentage change,Log percentage change,Average Annual percentage change,Percentage change,GVA per hour
ITL1,TLC,North East,2569312.0,0.008636465234553666,0.129546978518305,0.008673867096182342,0.13831258644536648,35.82
ITL1,TLD,North West,6958547.0,0.007211408780660852,0.10817113170991277,0.007237473605994804,0.11423841059602635,39.31
ITL1,TLE,Yorkshire and The Humber,5198675.0,0.003977569689125637,0.05966354533688456,0.003985490718107831,0.06147934678194078,36.82
ITL1,TLG,West Midlands,5496240.0,0.004183968555709564,0.06275952833564347,0.004192733572068175,0.06477076124567493,36.02
ITL1,TLH,East,5708350.0,0.004820711175064514,0.07231066762596772,0.004832349497329247,0.07498925655350197,39.69
ITL1,TLJ,South East,8426399.0,0.007557111820086308,0.11335667730129462,0.007585738856752844,0.1200313514723994,45.22
ITL1,TLK,South West,5205044.0,0.0038607457856720375,0.05791118678508056,0.003868208064913503,0.059620883193899576,38.75
ITL1,TLL,Wales,3025867.0,0.007419300423055652,0.11128950634583479,0.007446891626037955,0.11771844660194142,35.15
ITL1,TLI,London,7812161.0,-0.0007680961253223373,-0.01152144187983506,-0.0007678012150047486,-0.011455324235481679,53.96
ITL1,TLF,East Midlands,4441125.0,0.0021958372513251946,0.03293755876987792,0.002198249867523261,0.03348600508905886,35.61
ITL1,TLM,Scotland,5202900.0,0.009157804604962412,0.1373670690744362,0.00919986559495145,0.14724919093851074,41.28
ITL1,TLN,Northern Ireland,1779152.0,0.008521311206195866,0.127819668092938,0.008557720924565082,0.13634806440561875,36.88
ITL2,TLC3,Tees Valley,658509.0,0.009769341883981219,0.1465401282597183,0.009817217682411838,0.15782139124375738,35.37
ITL2,TLC4,"Northumberland, Durham and Tyne & Wear",1910803.0,0.008745514299196877,0.13118271448795316,0.008783868035560083,0.14017608897126999,35.97
ITL2,TLD1,Cumbria,500916.0,0.00982776238237939,0.14741643573569085,0.009876213430823677,0.15883644346871573,36.25
ITL2,TLD3,Greater Manchester,2620007.0,0.012095041436865787,0.1814256215529868,0.012168482241729617,0.19892535918701104,39.77
ITL2,TLD4,Lancashire,1451175.0,0.004571154097704048,0.06856731146556072,0.004581617760192502,0.07097271126760529,37.25
ITL2,TLD6,Cheshire,894700.0,0.00020068872095677648,0.003010330814351647,0.00020070886028533685,0.003014866410230299,44.58
ITL2,TLD7,Merseyside,1491749.0,0.0035829120291066847,0.05374368043660027,0.0035893383310769966,0.05521409547223888,37.33
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,912437.0,0.0009573661776622444,0.014360492664933666,0.0009578245989418921,0.014464099895941995,38.56
ITL2,TLE2,North Yorkshire,785747.0,-0.00195708078655444,-0.0293562117983166,-0.001955166952664622,-0.028929503916448995,38.18
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",1281965.0,0.01587282012304101,0.23809230184561514,0.01599946250236095,0.2688263024295907,39.61
ITL2,TLG2,Shropshire and Staffordshire,1548213.0,-0.0024591243869932574,-0.03688686580489886,-0.002456103217602479,-0.03621483375959089,33.44
ITL2,TLG3,West Midlands,2666062.0,0.001645491256022602,0.02468236884033903,0.0016468458196317037,0.024989500209995352,35.72
ITL2,TLH2,Bedfordshire and Hertfordshire,1680717.0,0.00530256650053745,0.07953849750806175,0.00531664998815673,0.08278724333770193,41.01
ITL2,TLH3,Essex,1694955.0,0.0034527459005978755,0.05179118850896813,0.0034587134939427777,0.05315580851712576,39.41
ITL2,TLH4,Cambridgeshire and Peterborough,776835.0,0.0034728282922637634,0.05209242438395645,0.0034788655471977847,0.05347310461668808,40.29
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2211708.0,0.008001504106985103,0.12002256160477653,0.008033601693514747,0.12752229000469262,47.65
ITL2,TLJ2,"Surrey, East and West Sussex",2676436.0,0.008055284798829792,0.12082927198244686,0.008087815895841954,0.12843224092116934,45.89
ITL2,TLJ3,Hampshire and Isle of Wight,1856723.0,0.01138682898112459,0.17080243471686885,0.011451905689467967,0.1862563627950018,47.17
ITL2,TLJ4,Kent,1681532.0,0.00046742237927658675,0.007011335689148801,0.0004675316381395067,0.007035972648895328,37.86
ITL2,TLK3,Cornwall and Isles of Scilly,527306.0,0.010784612256042199,0.161769183840633,0.010842975807528132,0.1755888650963593,32.74
ITL2,TLK4,Devon,1124479.0,0.004375367560834024,0.06563051341251036,0.004384953456987528,0.0678320946299591,34.5
ITL2,TLK5,West of England,846357.0,0.004428099579625903,0.06642149369438854,0.004437918099681637,0.06867706289373121,42.01
ITL2,TLK6,"North Somerset, Somerset and Dorset",1453764.0,0.002272831059668749,0.03409246589503123,0.0022754158981110884,0.03468027494271997,36.26
ITL2,TLK7,Gloucestershire and Wiltshire,1253138.0,0.0033614619704891878,0.05042192955733782,0.0033671180195342654,0.051714752313554824,44.54
ITL2,TLL3,North Wales,682644.0,0.01079129617322098,0.1618694425983147,0.010849732220838737,0.17570673408411874,35.82
